2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -3.656669998990809, 'omega_L': 0.673456677808876, 'omega_m': 0.40251551218362375}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -2.7179923198039218, 'omega_L': 0.5622917632647777, 'omega_m': 0.7171406935060118}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -1.3868127339131275, 'omega_L': 1.4550118538048862, 'omega_m': 0.18591405073044448}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 0.41521069246826947, 'omega_L': -0.08113109274488739, 'omega_m': 1.4483406313419807}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -4.044952816590013, 'omega_L': 0.8463076403583669, 'omega_m': 0.8809554501959769}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 0.3370892428751695, 'omega_L': 1.4143708312281116, 'omega_m': 0.718755293248619}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -0.10280802347393969, 'omega_L': 1.2954951884514325, 'omega_m': 0.938605004943803}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -4.963409080115178, 'omega_L': 1.4423990981638455, 'omega_m': 0.7174400299375212}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 1.6480559394683025, 'omega_L': 0.5843144223774477, 'omega_m': 0.6574648216836413}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -3.779417802603957, 'omega_L': 0.4210240381179753, 'omega_m': 0.7923364163775908}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 2.405503826857486, 'omega_L': 1.2155537987613845, 'omega_m': 0.8881924612023955}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -4.179829837550871, 'omega_L': 0.9130784424227709, 'omega_m': 1.251927866902115}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -0.704974456604722, 'omega_L': 1.0480051676603956, 'omega_m': 0.08567345713328983}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 0.3553739445963906, 'omega_L': 0.9177915709486812, 'omega_m': 1.0621730429664058}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -4.802298295883673, 'omega_L': 1.2727487536613755, 'omega_m': 0.8374781079719157}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 1.3749374698015728, 'omega_L': 0.39440207106862357, 'omega_m': 1.4487547979881914}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 0.79781190714945, 'omega_L': 1.1092352086260973, 'omega_m': 0.1083739912967831}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -4.0874744100587, 'omega_L': 1.3770246252103053, 'omega_m': 0.48856112163802085}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 2.394597513076918, 'omega_L': 1.0807829973237655, 'omega_m': 1.4127614112205495}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -3.4510504787697824, 'omega_L': 0.14452912224356895, 'omega_m': 1.3806038566396317}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -4.54044187847336, 'omega_L': 0.5991148722438433, 'omega_m': 1.360056967346317}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -3.53929014735753, 'omega_L': 1.2544901284274803, 'omega_m': 1.0597922447576962}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 0.813267692497126, 'omega_L': 1.2502195920242691, 'omega_m': 1.1687457011539863}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 0.7759694230526115, 'omega_L': 0.5424217891959118, 'omega_m': 0.9742319124418314}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -2.9724626947834114, 'omega_L': 0.3336593194528621, 'omega_m': 0.7436129121113177}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -3.9278303520092575, 'omega_L': 1.486634571610736, 'omega_m': 0.26924680420408775}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 2.2051889692407354, 'omega_L': 1.4431035773064678, 'omega_m': 0.8353420187052523}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 0.981311935630691, 'omega_L': 1.0443564293037975, 'omega_m': 1.1529837321360399}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 2.795961104698078, 'omega_L': 0.6694672653625942, 'omega_m': 0.3834799296512095}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -4.401122673499488, 'omega_L': 1.055752024276547, 'omega_m': 1.4665681233858985}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
