CurlyM	omega_L	omega_m	logL
-2.11597401258493977849e+00	1.90790757957734014028e+00	4.61149820700416712693e-01       -1.575677e+03
-2.01025324209179157009e+00	1.72708888699260976196e+00	3.98943688527537032584e-01       -1.513511e+03
-2.10391633935491029206e+00	1.74247838747689742789e+00	3.89368956470465432673e-01       -1.396932e+03
-2.27760081675679559865e+00	1.83417130029159114457e+00	3.53293370417266605621e-01       -1.379501e+03
-2.00165936473814243257e+00	1.87399190717722730071e+00	7.65149785980048124934e-01       -1.339795e+03
-2.03818040222807717043e+00	1.26718347892627747342e+00	4.41915633748634073541e-02       -1.252952e+03
-2.10541651494284920432e+00	1.82559290684260755455e+00	6.21227933313077240740e-01       -1.251875e+03
-2.33853600667885208608e+00	1.80313475002254675061e+00	4.14823690641739295515e-01       -1.108951e+03
-2.19046373495873991644e+00	1.52935282150074081109e+00	2.77529465587571411156e-01       -1.107188e+03
-2.01013474413808967967e+00	1.27405649564646772376e+00	3.45485286436394922749e-01       -1.091202e+03
-2.10286748225207098528e+00	1.87725158550763326915e+00	9.98997921194920923682e-01       -1.031226e+03
-2.12600413945882538158e+00	1.46791178010532519238e+00	4.24990937040933602908e-01       -1.028432e+03
-2.02351508986463857198e+00	1.57080756279588551472e+00	8.58812750036114125329e-01       -1.007013e+03
-2.08864144914820126786e+00	1.23398367527146923806e+00	2.71555075030140258274e-01       -9.939864e+02
-2.18720172880658836334e+00	1.83954754531378705806e+00	8.41989851996946425672e-01       -9.809384e+02
-2.53269318612534366508e+00	1.79512062901253810487e+00	3.29133011747877013420e-01       -9.768112e+02
-2.02116867862225024766e+00	1.25831692427348329488e+00	5.49244414489964749571e-01       -9.647865e+02
-2.03815142894751488711e+00	1.09097428822813391491e+00	2.90946006988810956795e-01       -9.597916e+02
-2.28915087690267649023e+00	1.68231311585786325047e+00	4.90117856597622969517e-01       -9.526396e+02
-2.10518755815242286644e+00	1.99245336187323873745e+00	1.32237929677000876083e+00       -9.391882e+02
-2.14625125583908848981e+00	1.87536589567294997849e+00	1.14152474637046208450e+00       -8.979599e+02
-2.49190119883372540599e+00	1.69655456621903888426e+00	3.14258131218999370304e-01       -8.788313e+02
-2.37549976040902199870e+00	1.31193190944314030943e+00	1.59873870203042223181e-03       -8.746844e+02
-2.01009521139740110485e+00	1.53993103257542363060e+00	1.23138266514312011424e+00       -8.623372e+02
-2.23413952998008014106e+00	1.53482344721802310694e+00	6.04284609428120678132e-01       -8.334575e+02
-2.00493185165946385951e+00	1.49787645870811436666e+00	1.37273438941277525771e+00       -8.072580e+02
-2.22141576003054952437e+00	1.72604839260492415320e+00	9.56310871820063468363e-01       -7.991074e+02
-2.67585876176084980216e+00	1.95652863415907840583e+00	5.18001921882949467602e-01       -7.928466e+02
-2.25976131328387142005e+00	1.65786277572278262227e+00	7.85646515198765271748e-01       -7.910116e+02
-2.12164268541252987177e+00	1.20470974071066172506e+00	6.01810623020960444585e-01       -7.866278e+02
-2.11041423765777347299e+00	1.53472449907010255465e+00	1.08056673943161118956e+00       -7.858644e+02
-2.08057547909156026478e+00	1.51433277432994639611e+00	1.16554277167724107400e+00       -7.846063e+02
-2.21352058509728522040e+00	1.40997397152570735912e+00	6.44753505731176290716e-01       -7.647628e+02
-2.09091535473339407147e+00	7.28488477971276693346e-01	2.06326248468081063780e-01       -7.436259e+02
-2.12568264067654677518e+00	1.98366641464061088662e+00	1.76392393575449379917e+00       -7.415656e+02
-2.39735329296743193694e+00	1.47585615651731605347e+00	3.50526423957861266167e-01       -7.394913e+02
-2.08065764538816910800e+00	6.92863087072066563543e-01	2.17107311974489458617e-01       -7.376008e+02
-2.39480401487828409302e+00	1.92402462796638440423e+00	9.49505869447347938817e-01       -7.248827e+02
-2.25538395327518781386e+00	1.05790040132819651575e+00	1.78839000993505442549e-01       -7.200111e+02
-2.03585877164582651488e+00	1.39628425385170729101e+00	1.49952767453296886835e+00       -7.000148e+02
-2.69076992796714042910e+00	1.91657852372413439745e+00	5.34266956938427739487e-01       -6.985964e+02
-2.04406368590733089619e+00	1.47737082804785568868e+00	1.58522160220103502937e+00       -6.967319e+02
-2.23527679986081073693e+00	1.60377715367392847945e+00	1.01493930668176757237e+00       -6.949153e+02
-2.58365898704139196340e+00	1.72916555931593673989e+00	4.37029559682611368210e-01       -6.923512e+02
-2.11463772104511038563e+00	1.36818265332587429839e+00	1.14919637770838090063e+00       -6.903347e+02
-2.34528228334782751219e+00	1.72428974655016720163e+00	8.84448077553739775425e-01       -6.864846e+02
-2.23668567602844392539e+00	1.94257196652584696039e+00	1.48532775497609570436e+00       -6.864451e+02
-2.40091750412470261722e+00	1.28537331234703344762e+00	2.20952559951335669730e-01       -6.740209e+02
-2.43232760149333282484e+00	1.65385808573897397089e+00	6.37262877368077074181e-01       -6.661176e+02
-2.52861546014219085166e+00	1.59746760932832088109e+00	3.91234886232894873981e-01       -6.656879e+02
-2.07590949710697447728e+00	1.52163768569309709733e+00	1.63905030598841672251e+00       -6.622737e+02
-2.13529868185278770554e+00	1.18735850291480549146e+00	9.46129382654445350020e-01       -6.558987e+02
-2.09693605454731191173e+00	1.26950071643277961897e+00	1.22635613863172543425e+00       -6.551476e+02
-2.43637000770618872281e+00	1.49042692734661752496e+00	4.71406421364636563087e-01       -6.405899e+02
-2.14522827236246449445e+00	1.14200631500596516688e+00	9.30181896656493201192e-01       -6.330740e+02
-2.31279545856459556319e+00	1.99691261118128293717e+00	1.47470631072101898695e+00       -6.315935e+02
